I am the life of the party.,I feel little concern for others.,I am prepared.,I get stressed out easily.,I have a rich vocabulary.,I don't talk a lot.,I am interested in people.,I leave my belongings around.,I am relaxed most of the time.,I have difficulty understanding abstract ideas.,I feel comfortable around people.,I insult people.,I pay attention to details.,I worry about things.,I have a vivid imagination.,I keep in the background.,I sympathize with others' feelings.,I make a mess of things.,I seldom feel blue.,I am not interested in abstract ideas.,I start conversations.,I am not interested in other people's problems.,I get chores done right away. ,I am easily disturbed.,I have excellent ideas.,I have little to say.,I have a soft heart.,I forget to put things back in their proper place.,I get upset easily.,I do not have a good imagination.,I talk to a lot of different people at parties.,I am not really interested in others.,I like order.,I change my mood a lot.,I am quick to understand things.,I don't like to draw attention to myself.,I take time out for others.,I shirk my duties.,I have frequent mood swings.,I use difficult words. ,I don't mind being the center of attention.,I feel others' emotions.,I follow a schedule.,I get irritated easily.,I spend time reflecting on things.,I am quiet around strangers.,I make people feel at ease. ,I am exacting in my work. ,I often feel blue.,I am full of ideas.,"In between 75 and 150 words, please describe your personality in free text."
Agree,Agree,Agree,Disagree,Agree,Strongly Disagree,Disagree,Disagree,Agree,Disagree,Strongly Agree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Strongly Agree,Disagree,Strongly Agree,Agree,Agree,Disagree,Agree,Strongly Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Agree,Disagree,Agree,Strongly Agree,Strongly Disagree,Disagree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,"I have a dominating personality and controlling. I easily insult people and often rude to others, especially those that I don't like much. I don't take much of an interest in other peoples problems and am not very sympathetic of their problems. I am opinionated and unforgiving towards others.  I can become irritated and impatient with others quickly.  I often strive to be the leader and tend to take over conversations. I make a lot of jokes to make people laugh to draw attention to myself. I can talk to anyone and do not consider myself to be shy or timid around others."
Disagree,Disagree,Agree,Agree,Agree,Strongly Agree,Neutral,Strongly Agree,Neutral,Agree,Disagree,Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Disagree,Neutral,Disagree,Disagree,Agree,Disagree,Neutral,Agree,Agree,Strongly Agree,Disagree,Strongly Disagree,Disagree,Neutral,Neutral,Disagree,Strongly Agree,Strongly Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Strongly Agree,Strongly Disagree,Neutral,Disagree,Strongly Agree,"I am a very introverted person. I tend to keep to myself and I like activities that are solitary. However, sometimes I get bored of this and want to go out and be around people. I am a hard worker at my job but sometimes it is hard to get motivated for my own personal goals. I try to be nice to people but sometimes I feel I get walked on due to my easy-going nature. I put others before me and am trying to work on my own self-care. "
Strongly Disagree,Disagree,Agree,Agree,Agree,Strongly Agree,Agree,Neutral,Disagree,Agree,Agree,Disagree,Agree,Strongly Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Neutral,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Strongly Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Neutral,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,"I am a very quiet person. I do not have a lot of friends, but I like it that way. I have a caring nature and try and help others when I can. Some of my favorite moments have been when I have worked as a volunteer at church or at the local soup kitchen. I am a perfectionist and exacting in my work. That can become a problem because I get easily upset if everything is not just the way I want it. I tend to be cynical because I have had a very difficult life with a lot of obstacles. I tend to get depressed very easily. "
Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Disagree,Agree,Agree,Agree,Strongly Agree,Disagree,Agree,Strongly Disagree,Strongly Agree,Disagree,Agree,Agree,Strongly Agree,Disagree,Strongly Agree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Disagree,Disagree,Disagree,Disagree,Agree,Strongly Disagree,Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Strongly Disagree,Strongly Agree,"A creative problem solver. Can come up with a wide range of ideas. Caring of others, always willing to help. A sense of humor even during the worse of times. Can find the silver lining to bad situation. Trust just about everyone. A hard worker with some attention to detail but not so much that it is obsessive. Finds the good in everything including people. Assuming everyone means well unless proven otherwise through previous actions. Stubborn, sarcastic, never gives up."
Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Disagree,Disagree,Neutral,Disagree,Disagree,Strongly Agree,Disagree,Neutral,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Agree,Strongly Disagree,Strongly Agree,Disagree,Neutral,Agree,Agree,Disagree,Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,Agree,Disagree,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Strongly Agree,Disagree,Strongly Agree,Neutral,Agree,Strongly Agree,Strongly Disagree,I try to keep in the background. I've very quite around people I don't know. I have little to say around people I know. I'm quite and do not like to draw attention to myself.
Disagree,Neutral,Disagree,Agree,Disagree,Neutral,Neutral,Agree,Agree,Agree,Strongly Disagree,Neutral,Agree,Neutral,Neutral,Strongly Agree,Disagree,Agree,Agree,Strongly Agree,Disagree,Agree,Disagree,Disagree,Neutral,Neutral,Agree,Agree,Strongly Disagree,Neutral,Strongly Disagree,Agree,Neutral,Strongly Disagree,Neutral,Strongly Agree,Agree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Agree,Agree,Disagree,Strongly Agree,Neutral,Neutral,Strongly Disagree,Disagree,I am someone who is very open to talk and have a good time with people I know and trust but am quick to become shy and reserved around strangers. I like to be the center of attention among my friends but definitely never want to be the center of attention when it comes to strangers. I'll go out of my way to help anyone with anything (within reason) and actively try to do things to make my friends and families lives easier. 
Neutral,Disagree,Agree,Neutral,Agree,Neutral,Agree,Disagree,Strongly Agree,Disagree,Neutral,Disagree,Strongly Agree,Agree,Neutral,Neutral,Agree,Disagree,Agree,Disagree,Neutral,Neutral,Neutral,Disagree,Agree,Neutral,Agree,Disagree,Disagree,Neutral,Neutral,Disagree,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Neutral,Neutral,Agree,Neutral,Disagree,Neutral,Agree,Agree,Agree,Disagree,Agree,"I am a kind and friendly person. I get along well with others. I like to cooperate with people. I am easy going and relaxed most of the time. I can be a bit shy and inhibited, and it takes me a while to feel comfortable around strangers and people that I meet for the first time. I try to be helpful, and think of others before myself. I am a modest and humble person. I don't like to show off or attract too much attention to myself. I really care about taking care of animals and the environment. I am fairly exacting in my work and I pay attention to details."
Agree,Strongly Agree,Agree,Disagree,Disagree,Strongly Disagree,Agree,Disagree,Strongly Disagree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Agree,Disagree,Strongly Agree,Strongly Disagree,Agree,Disagree,Agree,Strongly Disagree,Disagree,Strongly Disagree,Agree,Disagree,Strongly Agree,Strongly Disagree,Disagree,Strongly Disagree,Agree,Disagree,Disagree,Strongly Disagree,Agree,Agree,Strongly Agree,Strongly Disagree,Disagree,Disagree,Agree,Agree,Strongly Agree,Disagree,Agree,Disagree,Strongly Agree,Agree,Disagree,Agree,"Basically, I am an extrovert person and likes to mingle with people. I always love to be center of attraction. I am interested in learning new things and always prefer to spend maximum time in the library. I am very fond of flowers and like to decorate my house with different kind of indoor plants. Cooking is my hobby and I am very much interested in preparing a variety of cuisine. I love my family and I am a spiritual person, who believes in god and prey everyday. I believe in hard work and I hate people who are lazy and postpone work. Finally, I am a very health conscious person and always keep my place neat and hygienic.   "
Disagree,Strongly Disagree,Strongly Agree,Neutral,Agree,Disagree,Strongly Agree,Strongly Disagree,Agree,Agree,Agree,Strongly Disagree,Strongly Agree,Disagree,Agree,Neutral,Strongly Agree,Disagree,Agree,Agree,Agree,Disagree,Strongly Agree,Disagree,Neutral,Strongly Disagree,Strongly Agree,Strongly Disagree,Neutral,Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Agree,Strongly Agree,Strongly Disagree,Disagree,Agree,Disagree,Strongly Agree,Agree,Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Neutral,"I am a very empathetic person. I am a Christian practicing faith daily. That comprises my overall thoughts and actions. I try to hear others, be present, and help when possible. I would consider myself to be open to critique and use that to learn and grow. I really like serving others. "
Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Agree,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Disagree,Strongly Disagree,Agree,Strongly Disagree,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Agree,Disagree,Strongly Disagree,Strongly Agree,"I tend to be curious. I like to investigate things. If I find myself wondering about something, I'll look it up. I enjoy knowing trivial facts. I find them interesting. I get very interested in a subject for a while, then move on to another one. I enjoy cooking. I value honesty. I try to think skeptically about things. I enjoy music and think about it often when I'm not listening to it. I've become very conscious of my health. I like humor a great deal and enjoy being with other people."
Strongly Disagree,Disagree,Agree,Agree,Disagree,Strongly Agree,Agree,Disagree,Agree,Disagree,Agree,Strongly Disagree,Agree,Strongly Agree,Agree,Agree,Agree,Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Neutral,Strongly Agree,Agree,Disagree,Agree,Disagree,Strongly Disagree,Disagree,Strongly Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Strongly Disagree,Strongly Agree,Agree,Disagree,Disagree,Disagree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,I am intelligent and engaged. I tend to be blue and depressed. I enjoy spending time with people and wish that I had more close friends. I keep my home neat and tidy. People say that I am a good listener. I enjoy movies and books. I am recently widowed and miss my husband deeply. I am religious and attend worship services frequently. I am content to spend a lot of my time completing surveys. This is satisfying to me.
Neutral,Disagree,Strongly Agree,Agree,Strongly Agree,Disagree,Agree,Disagree,Neutral,Disagree,Agree,Neutral,Strongly Agree,Neutral,Neutral,Agree,Agree,Strongly Disagree,Neutral,Disagree,Neutral,Strongly Disagree,Neutral,Disagree,Disagree,Strongly Disagree,Agree,Strongly Disagree,Agree,Disagree,Neutral,Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Neutral,Disagree,Disagree,Strongly Agree,Neutral,Disagree,Agree,Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Neutral,Disagree,"I'm more reserved than I used to be, but overall I am a friendly and unassuming person. I make friends easily in situations like work, or places where you are forced to interact, and I have no problem making small talk or keeping a conversation going with someone I've just met. I do find that I get annoyed easily, though, and as I get older I find myself just avoiding situations that would make me uncomfortable rather than going through them and becoming agitated. I think I'm a trustworthy person, people seem open to revealing secrets to me, but I do find myself unwilling to get truly close to others. I'm more concerned with my own safety in that regard, as though I'm not suspicious of everyone, I would just rather not take risks in that realm currently. So while I'm not a ""shut-in"", I just find myself having less social contact than previously in my life, when I was more outgoing and would seek social activities more. I also value a good sense of humor."
Disagree,Strongly Disagree,Agree,Disagree,Agree,Neutral,Agree,Disagree,Agree,Strongly Disagree,Agree,Strongly Disagree,Agree,Disagree,Strongly Agree,Neutral,Strongly Agree,Strongly Disagree,Agree,Disagree,Agree,Strongly Disagree,Agree,Disagree,Neutral,Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Neutral,Strongly Disagree,Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,Neutral,Disagree,Agree,Neutral,Disagree,Agree,Neutral,Agree,Agree,Strongly Disagree,Agree,"I'm an introvert, but I like to be around people, who are close to me. I have an active imagination, I'm kind, caring and I'm successful in my career. My emotions tend to stay on an even level and I rarely get too high or too low. I work hard and try to better myself. I like learning, reading, athletics, fitness, nature and outdoor recreation. I do not like to be the center of attention, unless it is one-on-one with another person or in small groups. I hate public speaking. I like to eat healthy and exercise regularly to stay in shape."
Disagree,Disagree,Agree,Disagree,Strongly Agree,Agree,Agree,Strongly Disagree,Agree,Disagree,Agree,Disagree,Strongly Agree,Disagree,Agree,Agree,Agree,Strongly Disagree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Agree,Strongly Disagree,Strongly Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Strongly Disagree,Agree,"I am generally quiet and prefer not to be the center of attention; however, I am capable of talking to others when I choose.  I dislike conflict and have found that it is easier to avoid confrontational conversations by simply staying quiet these days.  I used to be more outgoing and outspoken but I withdrew during COVID and the social turmoil over the last few years.  I prefer to keep to myself, but I enjoy reading, learning, and improving myself.  I am almost always happy and rarely feel upset, but I am empathetic when around or listening to my close friends.  I feel like I have a lot of interesting ideas at work and at home, but I only share them with people I trust."
Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Neutral,Agree,Disagree,Agree,Neutral,Agree,Agree,Agree,Neutral,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Neutral,Disagree,Neutral,Disagree,Agree,Disagree,Agree,Neutral,Agree,Neutral,Agree,Disagree,Disagree,Neutral,Agree,Strongly Agree,Agree,Neutral,Agree,Neutral,Agree,Agree,Neutral,Agree,"I find myself to be generally interested in what people share with me and engage them on it even if it seems mundane initially. I have a strong sense of what mood someone is before they even start talking to me. I don't worry much about how others view me other than to not annoy them. I am usually quite inventive with problem solving too. I try to come at everyone warmly no matter what. I have many artistic and technical interests, partly because I dislike being idle or feel I'm just waiting around."
Neutral,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Agree,Agree,Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Neutral,Strongly Disagree,Agree,Agree,Strongly Agree,Neutral,Agree,Neutral,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Neutral,Strongly Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Agree,"I think in general I'm a fairly nervous person, who worries too much about things, even when they don't really matter. I feel like I'm always anxious about something, whether it's something small and unimportant, or something that actually has real consequences. This makes it quite difficult for me to relax. I also tend to be prone to feelings of low mood, sadness, or depression. I like talking to people but it often takes me a while before I feel comfortable with someone. I think I'm also pretty kind and try to be generous. I try to listen to my friends if they're having issues, and will offer help or advice if possible. I tend to be overly cautious in some situations, and try to not take unnecessary risks. I'm also not very assertive, and have a tendency to go along with what other people want to do."
Disagree,Strongly Disagree,Agree,Neutral,Neutral,Strongly Disagree,Agree,Agree,Neutral,Disagree,Agree,Strongly Disagree,Neutral,Neutral,Agree,Agree,Agree,Strongly Disagree,Neutral,Strongly Disagree,Agree,Strongly Disagree,Neutral,Disagree,Neutral,Disagree,Neutral,Neutral,Disagree,Disagree,Agree,Strongly Disagree,Neutral,Disagree,Disagree,Strongly Agree,Agree,Disagree,Disagree,Neutral,Disagree,Agree,Neutral,Neutral,Agree,Disagree,Neutral,Neutral,Disagree,Disagree,"I'm a trusting person, to a point.  To me, omitting pertinant information is lying.  Don't do that.  I am slow to warm up to others, especially face to face.  I'm highly suspicious of people I don't know.  I don't care much whether people like my outfits/ideas/etc. or not.  I'll listen to their input and give it consideration and have no issue with them for thinking differently from me.  I can get along with and be friends with people who aren't as liberal minded as I am.  I'm curious about science in most all aspects of it.  I will drop what I'm doing just because a person asked for my help with something.  It could be help in cleaning up or help finding something on the internet, or a small bit of typing.  I like to help others, provided I can."
Disagree,Disagree,Agree,Neutral,Agree,Neutral,Agree,Disagree,Agree,Neutral,Neutral,Disagree,Agree,Agree,Neutral,Neutral,Agree,Disagree,Agree,Neutral,Neutral,Disagree,Agree,Disagree,Neutral,Neutral,Agree,Disagree,Disagree,Neutral,Neutral,Disagree,Strongly Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Neutral,Neutral,Agree,Agree,Disagree,Agree,Neutral,Agree,Agree,Disagree,Disagree,I have a small but loyal group of friends that I prefer to be around.  I am intellectually curious.  I am relatively organized.  I like to plan out my day in advance.  I great frustrated and irritated if my plans are interfered with by other people.
Disagree,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Neutral,Agree,Disagree,Disagree,Neutral,Disagree,Disagree,Agree,Agree,Disagree,Neutral,Neutral,Disagree,Disagree,Disagree,Neutral,Disagree,Agree,Strongly Agree,Disagree,Neutral,Disagree,Disagree,Strongly Disagree,Disagree,Agree,Disagree,Disagree,Strongly Agree,Neutral,Disagree,Neutral,Disagree,Neutral,Disagree,Neutral,"I tend to be quite and reserved. I have a lot of thoughts on a variety of things, but I also feel that most of the time other people don't want to hear what I have to say. If you get me talking I will talk a lot, but I wont start a conversation. I prefer to have things orderly and in their place, and I can be a bit of a neat freak. "
Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,Agree,Neutral,Agree,Strongly Agree,Disagree,Strongly Disagree,Neutral,Neutral,Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Neutral,Neutral,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Neutral,Strongly Disagree,Neutral,Disagree,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Disagree,Neutral,Disagree,Agree,Strongly Agree,Neutral,Agree,Neutral,Strongly Agree,Agree,"The biggest part of my personality is probably my sense of humor - I have been told that I am very funny. I can be persuasive, and sometimes a bit argumentative. Someone once told me that I take being nice very seriously which I guess is true. I don't like seeing people being mean to others for no reason and I try not to do so myself. I love learning new things. I can be lazy at times. I am often a little blue or anxious; I worry a lot, especially about the people I care about. I tend to be quite introverted, and often prefer to keep to myself. Sometimes I feel like I need a lot of personal space, even from loved ones."
Disagree,Strongly Disagree,Agree,Agree,Agree,Disagree,Strongly Agree,Strongly Disagree,Agree,Disagree,Neutral,Disagree,Strongly Agree,Agree,Agree,Neutral,Strongly Agree,Disagree,Agree,Strongly Disagree,Agree,Strongly Disagree,Neutral,Disagree,Agree,Disagree,Strongly Agree,Disagree,Neutral,Strongly Disagree,Agree,Strongly Disagree,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Strongly Agree,Agree,Neutral,Strongly Agree,Agree,Neutral,Agree,Disagree,Agree,I am someone who likes to question everything. I like to find the truth and then look at that even if its not something I want to see or if things aren't the way that I would choose. I am also not afraid to deal with things when they are difficult. I don't like to pretend or be dishonest. I like to deal with reality and if there is a problem I want to face it head on instead of pretending that it doesn't exist or ignoring it until it gets worse. I don't like to play games with others or use them for my personal gain. I like to listen to others and understand how they feel and where they are coming from. I like to see things from their point-of-view and empathize with them. 
Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Strongly Agree,Agree,Neutral,Strongly Agree,Strongly Agree,Agree,Neutral,Agree,Strongly Agree,Disagree,Agree,Disagree,Strongly Agree,Agree,Strongly Agree,Agree,Disagree,Disagree,Neutral,Disagree,Disagree,Disagree,Strongly Agree,Neutral,Agree,Neutral,Neutral,Strongly Agree,Neutral,Strongly Agree,Neutral,Disagree,Agree,Neutral,Strongly Agree,Strongly Agree,Agree,Agree,"I am a trustworthy, honest, and humble person.I am very meticulous with my work.I work very hard.I love to be sociable and am described as a calm and relax person.Am taking responsibility for myself actions are admirable qualities."
Disagree,Neutral,Disagree,Agree,Disagree,Neutral,Neutral,Disagree,Disagree,Neutral,Neutral,Disagree,Agree,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Disagree,Neutral,Disagree,Disagree,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Strongly Disagree,Neutral,Neutral,Disagree,Neutral,Neutral,Disagree,Disagree,Neutral,Disagree,Agree,Disagree,Neutral,Agree,Disagree,Neutral,Disagree,Neutral,Disagree,Agree,"I see myself as something of an introvert/extrovert by circumstance first of all. I would describe myself as being not exactly ""shy"" in the utmost stereotypical way, but also not verbose openly either/just talkative and friendly. I can talk with people, or groups, or one-on-one -- however, I would not consider myself extroverted even though I don't consider myself wholly shy either. I believe I am more of a sigma-esque type -- sociable when it's worthwhile/necessary, but ""shy"" when there's no reason to socialize AKA do not fit in or do not feel they'd dominate or be sufficient in said group or place. I am somewhat of an enigma but not socially restrained -- merely just cautious and very careful over when, where or how one ought to socialize and why."
Disagree,Disagree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Agree,Strongly Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,"I consider myself an introvert. I'm usually quiet and reserved. I have no problem being alone. Most of the time I prefer it that way. I do attend social events once in a while, but I tend to be shy and only talk to a few people while there.  I daydream a lot and have an active imagination. I like to reflect a lot. When I'm into anything I enjoy or interested in, I'm want to learn everything I can about that subject. I prefer to work with little human interaction and rather indepently on my own."
Agree,Agree,Agree,Disagree,Neutral,Disagree,Neutral,Neutral,Agree,Disagree,Neutral,Disagree,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Disagree,Neutral,Neutral,Disagree,Strongly Agree,Neutral,Strongly Agree,Agree,Disagree,Disagree,Neutral,Neutral,Strongly Agree,Neutral,Strongly Agree,Disagree,Neutral,Neutral,Agree,Disagree,Neutral,Agree,Strongly Agree,Disagree,Neutral,Disagree,Disagree,Strongly Agree,Neutral,Strongly Agree,I am a hard-working and driven individual who isn't afraid to face a challenge. I'm passionate about my work and I know how to get the job done. I would describe myself as an open and honest person who doesn't believe in misleading other people and tries to be fair in everything I do.
Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,"My personality is a lot of things.  There are definitely ways about my personality that are hypocritical.  I am extremely sociable, but I’m also a homebody.  I love meeting people, but I don’t like crowds.  I’m weird like that.  I’m a very wild person, but I’m also subdued.  I am very controlled and I love to do exactly what I want to do.  I am not overly sexual but I am extremely sensual.  Many aspects of my personality are strangely opposites."
Disagree,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Agree,Agree,Strongly Disagree,Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Strongly Agree,"My personality is disciplined. I like order, following schedules, setting goals, and working on tasks to achieve those goals. I can be a bit reserved - I will be quiet until I am comfortable around people. Once I am close, however, I can have a lot to say. I am pretty even-keel in my temperament, rarely getting really happy or really sad. I derive satisfaction from working hard and doing a good job. I am unflappable in a crisis, and can focus on prioritizing and doing what needs to be done. I am a deep thinker; I like to play around with concepts and ideas. I dabble in philosophy and epistemology. I consider dependability and honesty to be my most important traits – I seek to be a person of integrity."
Neutral,Disagree,Agree,Neutral,Agree,Agree,Agree,Strongly Disagree,Agree,Disagree,Agree,Disagree,Neutral,Neutral,Agree,Agree,Agree,Disagree,Agree,Neutral,Agree,Disagree,Strongly Agree,Disagree,Agree,Neutral,Agree,Disagree,Neutral,Agree,Disagree,Disagree,Strongly Agree,Disagree,Agree,Agree,Neutral,Disagree,Disagree,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Disagree,Agree,I am an empath. I feel other people's emotions and can pick up on them easily. I like to keep a very clean home and clean it daily. I exercise and eat a clean diet. Health is very important to me. I like to talk to my friends and family. I like to drive and cook food. I am independent and stubborn. I do not like to be told what to do. I can be moody. I like to stay in the background. I can be shy around people I do not know. 
Disagree,Strongly Disagree,Agree,Agree,Neutral,Agree,Agree,Disagree,Disagree,Disagree,Agree,Strongly Disagree,Agree,Agree,Agree,Neutral,Strongly Agree,Strongly Disagree,Disagree,Disagree,Agree,Disagree,Agree,Neutral,Agree,Disagree,Strongly Agree,Disagree,Agree,Disagree,Neutral,Strongly Disagree,Agree,Strongly Disagree,Agree,Neutral,Agree,Strongly Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Strongly Agree,Agree,Neutral,Agree,"I feel as though I may be an empath, I am considerate of others and feel bad when something bad happens to them. I am too kind and caring at times and pay too much attention when others are upset or hurt to where it drains my energy as well. I always try to fix things and make it less chaotic. It helps me to be a good listener and keeps me grounded because I do not like to see people hurting. "
Disagree,Disagree,Agree,Neutral,Neutral,Agree,Agree,Disagree,Agree,Neutral,Neutral,Disagree,Agree,Neutral,Neutral,Agree,Agree,Disagree,Agree,Neutral,Neutral,Disagree,Agree,Disagree,Neutral,Neutral,Agree,Disagree,Disagree,Neutral,Disagree,Disagree,Agree,Disagree,Neutral,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Neutral,"I am fairly quiet and reserved, especially around strangers or narcissistic type people. But I do like to talk with people I know well and feel comfortable with. I care deeply for my family, friends and animals. I live animals. I can usually feel other people's emotions and feel a lot of empathy for people struggling, in a bad state, or being bullied, etc. I want to help them feel better. I also am very orderly and neat. I follow a routine, but can mix it up also. I am very conscientious and like to do my best. I like a quiet and peaceful life. I do not like insulting people but will return insults and fight back when attacked. "
