I am the life of the party.,I feel little concern for others.,I am prepared.,I get stressed out easily.,I have a rich vocabulary.,I don't talk a lot.,I am interested in people.,I leave my belongings around.,I am relaxed most of the time.,I have difficulty understanding abstract ideas.,I feel comfortable around people.,I insult people.,I pay attention to details.,I worry about things.,I have a vivid imagination.,I keep in the background.,I sympathize with others' feelings.,I make a mess of things.,I seldom feel blue.,I am not interested in abstract ideas.,I start conversations.,I am not interested in other people's problems.,I get chores done right away. ,I am easily disturbed.,I have excellent ideas.,I have little to say.,I have a soft heart.,I forget to put things back in their proper place.,I get upset easily.,I do not have a good imagination.,I talk to a lot of different people at parties.,I am not really interested in others.,I like order.,I change my mood a lot.,I am quick to understand things.,I don't like to draw attention to myself.,I take time out for others.,I shirk my duties.,I have frequent mood swings.,I use difficult words. ,I don't mind being the center of attention.,I feel others' emotions.,I follow a schedule.,I get irritated easily.,I spend time reflecting on things.,I am quiet around strangers.,I make people feel at ease. ,I am exacting in my work. ,I often feel blue.,I am full of ideas.,"In between 75 and 150 words, please describe your personality as it relates to the 5 personality traits outlined above. Be sure not to use the name of the personality traits themselves in your response."
Strongly Disagree,Strongly Disagree,Agree,Disagree,Neutral,Strongly Agree,Disagree,Strongly Disagree,Agree,Disagree,Disagree,Strongly Disagree,Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Neutral,Agree,Disagree,Agree,Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Neutral,Disagree,Agree,Strongly Agree,Agree,Disagree,Disagree,Neutral,Strongly Disagree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Neutral,Disagree,Agree,"I like to be by myself and feel complete when I am in silence. I try to suit others needs without losing sight of my own. I like keeping my space clean and organized. I try to stay calm in situations. I have a vivid imagination and daydream a lot, but am not much of an adventurous person."
Strongly Disagree,Disagree,Agree,Agree,Disagree,Strongly Agree,Agree,Disagree,Agree,Disagree,Agree,Strongly Disagree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Agree,Agree,Agree,Strongly Agree,Agree,Disagree,Agree,Disagree,Strongly Disagree,Disagree,Strongly Agree,Disagree,Agree,Agree,Agree,Disagree,Strongly Disagree,Disagree,Strongly Agree,Agree,Agree,Disagree,Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Disagree,I prefer to not seek fulfillment from sources outside myself. I prefer to keep to myself. I am typically polite and like people. I adjust my behavior to get along with others. I am honest and hardworking. I follow rules and prefer my house to be clean. I tend to be depressed and anxious. My mood does not change often. I daydream a lot and am curious about the world.
Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Neutral,Strongly Disagree,Neutral,Strongly Disagree,Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Neutral,Strongly Disagree,Neutral,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,"I like to be left alone when working on projects because I like to be in charge and handle the entire responsibility and work flow on my own. I'm a creative thinker and do not like to be held back by other people when completing a job. At the same time, I'm an agreeable person and have a very soft heart. I believe in lifting others up and go to pieces when I hear that there is someone out there who is in need of help. I'm very hard working and do not let the setbacks discourage me from moving forward. I also have big emotions and tend to respond    with much anxiety and irritability when faced with stress, I'm very impressionable and have a strong sense of justice . I'm a very traditional person and place high value on religious faith and traditional family system."
Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Neutral,Agree,Disagree,Strongly Disagree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Neutral,Agree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Strongly Agree,Neutral,Agree,Strongly Disagree,Disagree,I am a very honest person. I follow rules and am hardworking. I tend to quiet in front of people that I do not know well. I am not a very emotional person I keep my emotions to myself. I need to have a routine and like things to be in order. I am a person who does not like to take risks. I also like to help people in anything that they need. I am also polite to people and don't like confrontations.
Disagree,Disagree,Agree,Agree,Neutral,Agree,Neutral,Strongly Agree,Disagree,Agree,Disagree,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Disagree,Neutral,Disagree,Disagree,Agree,Agree,Neutral,Agree,Neutral,Agree,Agree,Strongly Disagree,Disagree,Disagree,Disagree,Strongly Agree,Disagree,Agree,Neutral,Disagree,Strongly Agree,Neutral,Disagree,Agree,Neutral,Agree,Strongly Agree,Agree,Neutral,Agree,Agree,Disagree,"i'm sixty six years old and the older i get, the less interested i am in spending time with other people; except for my closest relatives.  fortunately i retired three years ago so i am no longer subjected to useless office chatter.  i consider myself unusually honest, but i am honest with tact.  i don't use being honest as an excuse to make people feel bad.  i doubt there are many people more moody than i am and this is a definite problem that i struggle with.  with rare exceptions, anti-depressants and anti-anxiety medications have been ineffective because of their side effects.  i am not quite a hermit but not far from being one.   in the rare instances when i am with a group of people i will do almost anything to avoid an argument.  life isn't as bad as it may seem but it's far from where i'd like to be on a ""scale"" of happiness."
Disagree,Strongly Disagree,Agree,Disagree,Neutral,Disagree,Strongly Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Strongly Agree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Neutral,Disagree,Strongly Agree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Strongly Agree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Strongly Agree,Agree,Agree,Disagree,I am a person who cares deeply for the people in my life and for those I encounter during my day.  I do not seek out new relationships easily or frequently but I try hard to make sure my friends and family are taken care of and are listened to.  I am happiest doing quiet things like reading and walking with my dog.  But if I am at a party or event I make sure that others feel welcome and included.  My quiet life and self reflection do at times make me sad and a little lonely.  I have to try hard to put myself out there to meet new people.  Despite my solitude I am a great team worker and leader.  I make sure everyone on the team has an opportunity to speak and be heard.  I set an example with my effort and dedication while also making sure each individual on my team feels cared for.
Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,"According to Essentials of Organizational Behavior: 14th Edition, the big five personality dimension that has the biggest influence on job performance is conscientiousness. Those who score higher in this trait are likely to have higher levels of job-related knowledge as those who are highly conscientious learn more"
Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Strongly Agree,Neutral,Agree,Agree,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,"I tend to be a quiet person that thinks before they act or speak and I like to work on things by myself. My work is important to me and doing a good job, accurately and consistently is what I strive for. I am always aware of others state of being and always have a certain amount of concern for them, while not being swayed by their state in an emotional way. I like to find and explore new things and learn wherever I can. I do tend to worry quite a bit about many things, yet only when it comes to things that directly affect me. "
Agree,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Agree,Disagree,Agree,Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Agree,Disagree,Strongly Agree,Neutral,Agree,Strongly Disagree,Strongly Disagree,Agree,Neutral,Agree,Agree,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,"I think of myself as a person who enjoys being with people, but also appreciates time on my own to think and reflect. I find great satisfaction in my activities and I love to learn new skills. I like to get to know a wide variety of people and I can understand points of view different from my own. I enjoy my comfortable home, but do like to keep things organized. When things don't go my way, I try to take an accepting and optimistic outlook on the situation."
Neutral,Disagree,Agree,Disagree,Agree,Agree,Agree,Strongly Disagree,Agree,Disagree,Agree,Strongly Disagree,Agree,Disagree,Agree,Agree,Agree,Strongly Disagree,Agree,Disagree,Neutral,Neutral,Agree,Disagree,Agree,Neutral,Agree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Agree,Disagree,Strongly Disagree,Disagree,Disagree,Agree,Agree,Strongly Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,"I would describe my personality as rational and adaptable.  I am open to a variety of experiences, and am eager to try out new things.  I am not afraid to take risks, and value the importance of getting out of my comfort zone to confront things that may frighten me.  I can be shy at times, but generally am open to talking to people I've never met before.  I am sympathetic, and will often lend an ear to anyone wishing to talk about their problems.  I am generally emotionally stable and do not let things bother me too much.  All in all, I would describe myself as someone who is open to new experiences, and will often see the good in people."
Disagree,Disagree,Agree,Neutral,Agree,Disagree,Agree,Strongly Disagree,Agree,Strongly Disagree,Agree,Strongly Disagree,Agree,Neutral,Agree,Neutral,Agree,Disagree,Neutral,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Neutral,Agree,"I would say that I don't like to disagree with the group. I conform to social norms and like to cooperate with others. I am interested in people but I am not that talkative. I like to observe others in their natural environment. I tend to stick with the familiar and like to plan my day. I hate being taken by surprise. I am open to new ideas only if I deem them to be safe and interesting. I feel comfortable around my friends and don't hide my emotions when I'm with them. With strangers or acquaintances, I am much more reserved. I think hardwork gets you far in life and I believe that most people reap what they sow. I love my family, friends and pets very much. I can't image my life without them. "
Disagree,Strongly Disagree,Agree,Disagree,Neutral,Strongly Agree,Disagree,Disagree,Strongly Agree,Strongly Disagree,Neutral,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Agree,Agree,Strongly Disagree,Strongly Agree,Neutral,Neutral,Agree,Strongly Disagree,Strongly Disagree,Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Neutral,Agree,Agree,Agree,Strongly Disagree,Strongly Agree,Agree,Neutral,Agree,Strongly Disagree,Strongly Agree,i would consider myself a very open minded person. I am somewhat of free spirit also. I like to march to the beat of my own drum. Letting my imagination run wild is an everyday occurrence for me. Sometimes i get so lost in those thoughts that people have to literally shake me to bring me back. I spend a lot of time inside my mind. It is a happy place for me. I also love learning all kinds of information and learning about people. It intrigues me on we are all connected in some fashion
Disagree,Disagree,Neutral,Agree,Agree,Disagree,Agree,Agree,Disagree,Neutral,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Neutral,Agree,Disagree,Disagree,Disagree,Neutral,Disagree,Agree,Disagree,Neutral,Disagree,Neutral,Disagree,Agree,Disagree,Neutral,Disagree,Agree,Disagree,Disagree,Neutral,Agree,Neutral,Agree,Disagree,Agree,Disagree,Agree,Neutral,Disagree,Disagree,"I am an outgoing and social person but I don't always feel like socializing because I sometimes don't like to leave my familiar surroundings for new things. I will almost always endure various discomforts for a friend or family member in need and my mood is usually calm but a little tense. I do get stressed out or overwhelmed fairly easily, if my routine is disrupted or plans change at the last minute. Or if I feel like I have too many tasks to accomplish in too short a period of time."
Disagree,Strongly Disagree,Strongly Agree,Agree,Neutral,Strongly Agree,Agree,Agree,Strongly Disagree,Neutral,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Neutral,Strongly Disagree,Agree,Disagree,Agree,Strongly Disagree,Disagree,Neutral,Strongly Disagree,Disagree,Agree,Strongly Disagree,Neutral,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Neutral,"I like to keep to myself about 95% of the time, as it feels draining to be around other people, especially energetic people, and I barely have enough energy to get through the day as it is. I prefer it to be quiet and calm so I can focus on my work without extra distractions. That said, I do get along with people quite well and I think people find me friendly, funny, and fun to be around once they get to know me a little bit. I probably come across as a bit mean and intimidating because I don't typically initiate conversations or interactions and have been told I have an intense demeanor. Doing new things is certainly fun and interesting but I typically have so much to do at work or home that I don't get around to doing too much, or necessarily have the money for it."
Neutral,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,I think i like to talk to others. I like to get to know people. I find orders interesting to be around.  I think i am easy to get along with. I try to keep track of all the details necessary to get the job done. I don’t obsess over things. If something goes wrong i don’t obsess over it.  I love to experience new things and am always looking for a good adventure.  I love to have a good time in life. 
Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Strongly Disagree,Agree,Agree,Neutral,Disagree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Agree,Neutral,Disagree,Agree,Agree,Neutral,Agree,Agree,Strongly Disagree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Agree,Strongly Agree,Agree,Disagree,Disagree,Disagree,Strongly Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,I am a very introverted person. I used to be more extroverted but as I got older I was okay staying to myself. As for agreeableness I typically will agree with someone to avoid confrontation. Sometimes it's not worth arguing. I'm conscientious to a point but not at the upper level. I'm definitely not neurotic but I like cleanliness. I'm pretty open to new things as long as they are low risk.
Disagree,Strongly Disagree,Neutral,Neutral,Disagree,Disagree,Strongly Agree,Disagree,Agree,Neutral,Neutral,Disagree,Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Agree,Disagree,Strongly Disagree,Agree,Strongly Disagree,Neutral,Neutral,Neutral,Neutral,Strongly Agree,Disagree,Agree,Neutral,Disagree,Strongly Disagree,Agree,Disagree,Neutral,Strongly Agree,Strongly Agree,Neutral,Strongly Disagree,Neutral,Strongly Disagree,Strongly Agree,Neutral,Neutral,Strongly Agree,Strongly Agree,Neutral,Agree,Disagree,Neutral,"I am very much an introvert. I can be social once I get to know people and enjoy small gatherings with people I know or who maybe friends-of-friends. Large groups tend to bring out my more anxious and self-conscious side. I like to go to new places and try new things (museums, new restaurants, cooking classes, etc). I like to travel and explore (mostly by walking) new cities and cultures. Overall, though, I like my simple life at home and the parts of daily life some others may consider boring, I find comfort in. I do tend to be a little uptight with things like placing items where they belong, when to do certain things, how to do certain things (i.e. dusting the ceiling fan before vacuuming bc it's more efficient, or the proper way to load a dishwasher to maximize the load and reduce the times it has to run. I am currently working on changing this as it's not something I like about myself when it gets to the extreme. I don't tend to have mood swings, though I do tend to feel a lot of emotions of those around me. This doesn't necessarily change my core emotion, but I do feel it. If I see someone or something crying, I cry too. I immediately have the urge to do ANYTHING to make that person/animal stop crying and to feel better; to comfort them. I wish I could say I was harder working or more successful but those things just don't appeal to me. I've never been super ambitious and I find joy in the simpler things life has to offer (i.e. I work to live, I don't live to work). I can tend to be lazy or forgetful, or too self-focused depending on what's going on in my life at the time and those are also things I am currently working on changing as they're also things I do not like about myself."
Neutral,Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Neutral,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Strongly Agree,"I'm introverted and agreeable. I try mostly to keep my peace and that means going with the 
flow and being open to new experiences"
Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,Strongly Agree,"I am a very withdrawn type of person who doesn't like to be around people much at all, I avoid them as much as possible. I have my own opinions and ways that I like to do things, and I don't care if other people like it or not. I don't care about keeping things in any particular place or arrangement, I'm so lazy I just leave things where they are until I have to move them for something else. I do as little work as possible. My demeanor changes often, and usually without much reason. I could be happy one instant and severely depressed the next. I love trying new things and have a high level of curiosity. I will try just about anything once, just to see if I like it or not."
Disagree,Strongly Disagree,Agree,Agree,Disagree,Agree,Agree,Strongly Disagree,Agree,Disagree,Agree,Strongly Disagree,Agree,Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Disagree,Neutral,Strongly Disagree,Agree,Agree,Neutral,Agree,Strongly Agree,Strongly Disagree,Agree,Agree,Agree,Strongly Disagree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Disagree,"I am definitely an introvert. I am quiet and don't often have much to say. I keep to myself and prefer to do things alone. Despite this, I consider myself an affable person. I go out of my way to make others feel comfortable and avoid causing conflict. I go out of my way to be nice. I am very conscientious and follow rules. I finish what I start and keep my promises. I would say that I am neurotic because I often respond negatively to stress and when things go wrong. I like to play it safe and don't do things that bring attention to myself. I am not very open as a person and tend to stick to what I feel I am good at and do not go out of my way to try new things."
Disagree,Disagree,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Agree,Disagree,Agree,Disagree,Agree,Agree,Strongly Agree,Agree,Agree,Neutral,Disagree,Disagree,Neutral,Disagree,Neutral,Disagree,Neutral,Agree,Agree,Disagree,Disagree,Disagree,Neutral,Disagree,Agree,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Disagree,Neutral,Agree,Agree,Neutral,Agree,Agree,Agree,Neutral,Agree,Neutral,"For the most part I'd say I keep to myself and am happy to do so most of the time. I'm able to keep myself entertained and even spend long stretches of time alone without much issue. I prefer it most of the time because it allows me to focus on hobbies or other activities that interest me. When I'm around others I try to be polite whenever I can and go with the flow, but without being a complete doormat. I try to stay open to things they suggest or ideas they have without being led around by them. Additionally I try to be honest with people, but will hold back if I think something would be a bit too harsh and the person I'm talking to won't handle it well. Lastly, while I do have bouts of depression I generally don't react in extreme ways to stressful or other emotionally situations. I try to approach them equanimously, although I don't always succeed at it."
Neutral,Strongly Disagree,Strongly Agree,Disagree,Agree,Disagree,Strongly Agree,Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Neutral,Agree,Disagree,Strongly Agree,Disagree,Strongly Agree,Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Disagree,Disagree,Strongly Disagree,Agree,Disagree,Strongly Agree,Disagree,Strongly Agree,Disagree,Agree,Disagree,Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Disagree,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,"Conscientiousness. This fully makes me feel as it is exactly me. As a person with high level of this trait, I prefer to keep my house clean. I like to make sure that other people are doing well and helped in their life. I make sure to do right by everyone involved and people who may be involved in the future. I try to do my best in every possible way to make sure everyone is treated equally and fairly. I like to work hard and ensure that my time is being spent wisely more than anything. Working to a point of sweating is only helpful, if you are optimized in your workflow to begin with to avoid lost or wasted effort."
Strongly Disagree,Strongly Disagree,Neutral,Strongly Agree,Agree,Disagree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Disagree,Neutral,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Disagree,Strongly Disagree,Neutral,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Strongly Disagree,Neutral,Disagree,Agree,Strongly Agree,Agree,Neutral,Disagree,Agree,Strongly Disagree,Agree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Agree,Neutral,Agree,Strongly Agree,Strongly Disagree,"I always try to be polite to others, even strangers. I am shy but I try to make people feel better, especially when they are feeling down. I much prefer to work by myself instead of others. I am hardworking when it comes to my job, but I am lazy when it comes to housework. I am very disorganized at home. I can be very emotional, especially where my family and friends are concerned. I am open to new experiences and love traveling."
Disagree,Strongly Disagree,Agree,Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Strongly Disagree,Strongly Agree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Neutral,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Agree,Disagree,Strongly Agree,"I'm probably a bit of a contradiction in some ways.  For one thing, I can usually come up with a lot of things to say to people, including strangers.  Especially if it's a topic I'm particularly interested in.  But on the hand, I'm really pretty much a hermit.  I can go for long periods of time with no human contact and it doesn't bother me in the least.  I can be pretty agreeable - as long as people agree with me.  If I find out you voted for the bloated orange guy, any conversation between us will be over.  I am honest - to a fault.  I don't like and I don't steal and I don't like being around people who do.  Hardworking?  Pretty much.  I think.  I'm not particularly emotional and tend to keep my emotions to myself.  I am open to new experiences, although I don't like change very much.  "
Strongly Disagree,Agree,Neutral,Neutral,Disagree,Neutral,Disagree,Disagree,Agree,Disagree,Agree,Strongly Disagree,Agree,Neutral,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Neutral,Disagree,Neutral,Strongly Agree,Strongly Disagree,Neutral,Agree,Disagree,Disagree,Disagree,Neutral,Strongly Disagree,Neutral,Strongly Disagree,Neutral,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Neutral,Neutral,Neutral,Neutral,Strongly Agree,I follow the rules most of the time and tend to be shy around people I don't know.  I enjoy trying new things as I think this makes life much more enjoyable.  I usually just go with the flow when around people depending on what type of situation I am in.  I am not an emotional person and don't like to be around people who are as they can be very depressing.
Neutral,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Neutral,Strongly Agree,Neutral,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Neutral,Strongly Agree,Neutral,Strongly Agree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Neutral,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,Neutral,Agree,Agree,Strongly Disagree,Agree,Neutral,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,"I do not feel that I am the most extroverted person in the world but I do make an effort to interact with and have fun with people. After these interactions I do need alone time though so I guess that is more balanced. I am agreeable with people when their ideas make sense but I usually do my own thing. I do not have a problem being ""rude"" in that sense. As long as I focus on giving it my all relative to my job I usually am in good spirits. I like to stay on top of things tough I do feel stressed at times with the pressure. Usually I am open to new experiences but am a bit risk adverse and get nervous/anxiety when trying new things."
Disagree,Disagree,Disagree,Strongly Disagree,Agree,Disagree,Agree,Disagree,Agree,Strongly Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Neutral,Agree,Disagree,Strongly Disagree,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Strongly Disagree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Neutral,Disagree,Disagree,Agree,"I'm very conscientious, so I try to be honest and reliable. However, I'm also quite an introvert, so I'm not very extroverted and prefer to work on my own. I can be quite neurotic, so I can sometimes overreact to situations, but I try to be calm and suggested by what people say or do. Openness to experience is the personality trait that I'm not the most confident about, because I can't say I'm either very open or closed to new experiences. I'd say I'm quite curious, but I don't feel attracted to experiences that are too different to what I'm accustomed to. I do like some novelty, but I don't want to experience anything that's too bizarre or out there. It's important that I'm not too closed off to new experiences, but I'm also not too open."
